  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        4.605            0      376.539       40.267       73.825
        1        0.188        4.617            0      376.062       51.772       74.242
        2        0.502        4.573            0      376.947       54.041       76.487
        3        0.224        4.591            0      375.599       45.669       78.468
        4        0.361        4.541            0      375.508       44.174       80.665
        5        0.310        4.618            0      375.718       63.872       77.564
        6        0.393        4.629            0      376.937       63.892       76.773
        7        0.271        4.512            0      374.426       41.890       75.220
        8        0.502        4.560            0      374.493       56.529       77.693
        9        0.491        4.555            0      375.931       44.848       77.444
       10        0.363        4.571            0      377.349       49.576       76.820
       11        0.453        4.519            0      374.239       39.713       74.065
       12        0.454        4.542            0      372.868       85.132       78.766
       13        0.422        4.553            0      374.151       58.025       76.371
       14        0.372        4.557            0      378.227       61.588       74.446
       15        0.350        4.582            0      378.434       56.644       75.894
       16        0.459        4.560            0      373.453       63.575       77.335
       17        0.141        4.580            0      375.467       55.945       74.994
       18        0.430        4.571            0      373.820       69.137       77.357
       19        0.538        4.525            0      373.255       84.222       80.590
       20        0.547        4.510            0      376.594       53.629       77.441
       21        0.332        4.542            0      373.546       62.757       76.775
       22        0.280        4.593            0      377.356       61.136       79.214
       23        0.221        4.623            0      377.307       67.940       77.656
       24        0.545        4.594            0      375.229      101.145       78.464
       25        0.364        4.533            0      372.731       53.953       76.410
       26        0.537        4.574            0      376.138       71.678       78.257
       27        0.453        4.550            0      373.900       79.157       79.978
       28        0.429        4.616            0      378.833       81.317       80.897
       29        0.531        4.537            0      374.403       97.265       78.858
       30        0.383        4.599            0      376.011       74.339       78.257
       31        0.526        4.512            0      375.513       52.174       76.883
       32        0.629        4.588            0      376.059       56.147       82.048
       33        0.381        4.580            0      376.746       99.946       78.484
       34        0.402        4.559            0      378.669       65.523       76.579
       35        0.256        4.558            0      374.752       74.561       77.129
       36        0.317        4.569            0      373.683       68.899       79.108
       37        0.462        4.565            0      374.302       75.296       77.810
       38        0.384        4.599            0      373.747       63.644       80.016
       39        0.299        4.575            0      375.255       50.636       78.952
       40        0.477        4.580            0      374.762       51.593       81.094
       41        0.431        4.548            0      376.440       78.885       77.269
       42        0.385        4.530            0      374.493       66.453       78.332
       43        0.599        4.598            0      375.952       45.675       83.627
       44        0.408        4.507            0      372.726       70.998       77.485
       45        0.363        4.630            0      374.068       73.989       77.530
       46        0.546        4.567            0      372.470       60.462       79.014
       47        0.451        4.534            0      372.404       58.028       79.647
       48        0.490        4.573            0      374.382       70.908       79.760
       49        0.495        4.558            0      370.590       74.106       79.006
       50        0.440        4.534            0      371.765       52.334       82.015
       51        0.632        4.556            0      375.378       58.765       76.140
       52        0.413        4.525            0      370.785       60.777       79.909
       53        0.449        4.575            0      376.946       75.405       77.993
       54        0.345        4.551            0      369.521       93.721       80.173
       55        0.538        4.557            0      377.933       84.274       74.152
       56        0.495        4.586            0      372.599       91.666       80.758
       57        0.501        4.519            0      373.682       68.390       79.216
       58        0.359        4.527            0      373.661       64.454       75.660
       59        0.683        4.528            0      376.475       80.756       78.637
       60        0.294        4.543            0      372.256       65.367       77.785
       61        0.304        4.587            0      378.402       45.280       77.243
       62        0.439        4.572            0      373.225       63.225       80.109
       63        0.314        4.599            0      375.286       62.364       81.065
       64        0.329        4.537            0      375.443       48.467       79.014
       65        0.405        4.551            0      374.942       68.874       81.705
       66        0.304        4.540            0      372.939       45.609       78.892
       67        0.484        4.567            0      375.133       56.869       77.714
       68        0.329        4.539            0      375.478       77.736       74.330
       69        0.322        4.565            0      372.697       58.146       80.417
       70        0.246        4.587            0      376.811       77.175       76.604
       71        0.707        4.572            0      376.738       82.083       80.119
       72        0.751        4.544            0      375.906       57.384       77.218
       73        0.597        4.543            0      377.138       77.869       78.593
       74        0.547        4.549            0      379.839       75.005       78.560
       75        0.404        4.577            0      374.945       94.142       79.258
       76        0.555        4.577            0      376.405       87.413       78.526
       77        0.565        4.556            0      371.703       71.050       82.953
       78        0.577        4.587            0      378.981       74.666       78.101
       79        0.748        4.543            0      377.795       82.890       79.360
       80        0.640        4.552            0      377.951       63.321       79.887
       81        0.557        4.586            0      380.730       92.074       77.826
       82        0.517        4.619            0      378.171       64.915       77.656
       83        0.391        4.550            0      373.530       77.743       82.144
       84        0.596        4.561            0      378.913       99.314       76.296
       85        0.554        4.569            0      377.957       91.551       77.281
       86        0.433        4.513            0      375.905       81.925       76.499
       87        0.550        4.536            0      374.965       95.241       77.401
       88        0.606        4.546            0      377.269      106.814       80.463
       89        0.714        4.529            0      377.997       88.262       79.584
       90        0.520        4.559            0      374.364       94.645       81.090
       91        0.742        4.581            0      379.309       87.258       81.515
       92        0.473        4.536            0      376.090      100.110       83.685
       93        0.483        4.549            0      375.448       78.200       79.369
       94        0.600        4.581            0      374.663       95.657       80.524
       95        0.353        4.546            0      377.906       81.834       79.111
       96        0.589        4.558            0      375.443       94.223       80.432
       97        0.514        4.547            0      374.932       71.951       81.048
       98        0.406        4.506            0      372.419       55.671       79.953
       99        0.413        4.556            0      376.116       68.928       78.996
      100        0.647        4.541            0      375.874       86.566       78.597
      101        0.728        4.537            0      377.369      101.576       79.569
      102        0.411        4.571            0      378.362       97.174       79.200
      103        0.735        4.549            0      374.581       77.213       78.470
      104        0.438        4.557            0      373.838       82.370       80.225
      105        0.488        4.565            0      377.985       89.992       75.796
      106        0.752        4.540            0      377.132      102.333       79.033
      107        0.555        4.580            0      377.054       91.839       77.088
