   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   0.678        0.229
         2                   0.660        0.257
         3                   0.720        0.176
         4                   0.712        0.260
         5                   0.924        0.471
         6                   1.256        0.269
         7                   1.914        0.680
         8                   0.761        0.417
         9                   0.661        0.201
        10                   0.665        0.156
        11                   0.659        0.233
        12                   0.662        0.310
        13                   0.712        0.308
        14                   0.732        0.204
        15                   0.778        0.233
        16                   0.935        0.511
        17                   1.055        0.521
        18                   1.058        0.223
        19                   1.055        0.460
        20                   1.949        1.196
        21                   2.121        1.214
        22                   1.857        1.186
        23                   1.676        1.147
        24                   0.816        0.252
        25                   0.842        0.707
        26                   0.898        0.635
        27                   0.795        0.292
        28                   0.943        0.534
        29                   1.013        0.736
        30                   0.863        0.691
        31                   0.754        0.495
        32                   1.115        0.574
