## Torsion are defined with the following atomIDs:
# dihed1: ai= 25 aj= 26 ak= 29 al= 4267
# dihed2: ai= 24 aj= 23 ak= 22 al= 4
# dihed3: ai= 22 aj= 4 ak= 10 al= 1
# dihed4: ai= 2 aj= 11 ak= 12 al= 13
# dihed5: ai= 5 aj= 6 ak= 3 al= 18
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5
0  -19.702 -169.023  148.170  152.629  -32.191
1   -3.192 -176.280  167.524  148.269  -39.436
2  -32.288  167.035  121.917  160.123  -28.211
3   -1.957 -161.699  130.764  150.472   -7.695
4  -20.098 -179.944  124.993  157.151  -27.324
5   -3.807  153.022  152.306  141.266  -26.441
6   42.154 -169.957  138.659  146.358  -34.095
7  -15.539  168.950  153.258  135.393  -25.127
8   11.683 -179.457  117.269  176.734  -30.531
9   -3.494 -176.539  118.824  162.367  -27.431
10   20.256  169.080  131.727  139.343  -23.198
11    9.904  142.770  141.956  150.701  -39.049
12 -162.734  170.432  153.828  133.269  -11.857
13   20.394  168.080  143.327  135.279  -22.404
14   46.426 -177.561  128.582  158.480  -33.419
15   -6.705 -171.457  120.183  149.690  -35.611
16  -32.208  162.155  133.463  154.740  -25.189
17   39.517 -160.985  144.900  147.310  -29.993
18  -14.850  172.187  139.886  149.655  -42.988
19   -3.815  157.010  140.423  146.622  -26.922
20  -36.403  138.852  149.349  134.457  -13.239
21   23.326 -172.028  159.275  145.168   -3.733
22   20.663  168.739  166.363  125.077  -17.274
23   55.557  170.731  170.318  134.875  -20.575
24   18.189  174.281  142.842  141.676  -21.825
25  -16.965 -154.775  166.212  147.923  -25.981
26   41.033 -179.695  120.383  155.383  -26.826
27   38.283  170.278  137.876  152.131  -18.420
28   14.367 -179.943  125.271  152.486  -33.983
29   -3.676  166.994  135.704  144.754  -26.239
30   11.684  149.232  152.860  146.975  -31.595
31  -11.550  170.696  126.259  144.275  -19.349
32  165.054  166.747  131.483  138.087  -20.697
33  -12.659 -165.455  125.117  142.374  -15.023
34 -178.595  179.264  146.467  135.967  -25.264
35 -164.874 -169.731  169.970  134.683  -30.521
36 -166.130  179.927  158.582  133.779  -35.795
37    7.877 -161.009  146.137  131.416  -37.412
38   19.941 -152.620  161.920  132.198  -20.198
39    1.523 -175.560  176.999  127.442  -26.227
40  -11.776 -164.776  148.494  117.023  -29.572
41  174.605 -152.618  170.571  117.516  -28.906
42  -33.818 -177.137  173.436  114.960  -31.651
43   28.661  140.421  145.291  136.658  -26.699
44  -12.406 -167.808  144.194  139.901  -27.604
45    5.771 -163.096  143.684  139.805  -30.557
46   11.979 -161.460  159.455  128.347  -18.842
47  -22.824 -148.144  150.713  129.920  -24.218
48  -13.916 -155.026  145.885  145.950  -37.664
49  -36.283 -146.956  160.473  132.750  -42.189
50   -7.841 -165.363  165.480  110.203    3.432
51   44.016  169.531  131.166  130.919  -24.839
52   -5.411 -148.489  146.290  135.826  -33.132
53  162.607 -151.492 -179.550  130.200  -49.960
54  -14.705 -137.454  131.437  153.791  -19.316
55   15.856 -166.683  119.258  140.107  -38.137
56   11.776 -172.061  176.195  126.819  -10.449
57  171.651 -153.291 -175.017  104.468  -14.919
58  -63.961  177.955  142.178  143.134  -25.188
59  179.089  154.415 -148.022  103.259  -25.966
60 -149.444 -163.469  166.578  139.204  -16.954
61  -26.884 -178.881  161.014  125.552  -25.175
62   -5.972 -155.813  147.665  127.609  -29.639
63   22.292 -157.313  149.476  131.141  -20.807
64   40.841 -168.431  170.607  117.257  -20.177
65 -174.419 -147.613  171.696  127.617  -26.556
66    6.375 -177.288  147.569  143.008  -14.198
67  -11.413 -159.747  154.609  130.142  -30.410
68   23.303  177.995  154.139  119.718  -19.969
69    3.299 -157.988  160.695  138.647  -21.061
70    8.204 -169.880  161.451  130.203  -39.871
71   38.436    5.747 -131.929  116.534  -15.435
72    8.677    9.936 -136.225  110.155  -13.060
73  -30.015   -2.222 -173.237  105.664   -8.903
74    4.956   -3.656 -170.800  116.241  -32.187
75   45.386    8.773  163.294  134.139  -20.980
76   32.932    6.563 -177.205   95.570  -26.716
77   11.060   17.909  165.802  119.133    1.869
78    0.082   14.039 -178.445  119.148  -21.275
79  -22.931   13.890 -148.492   79.747  -30.279
80   31.015   -6.980 -173.141   82.865  -28.983
81   -8.877   21.776  171.086  125.467  -33.600
82   17.373  -18.199 -156.829  114.944  -29.549
83   29.511   16.178  154.688  139.243  -28.855
84  -26.123    3.961 -163.877  115.595  -21.221
85  -26.715    0.676 -173.125  111.377    2.870
86   22.281   11.832  166.542  118.617  -36.799
87  -12.954    1.155 -168.967  112.981  -30.005
88   24.613  -22.399 -167.357  102.303  -17.356
89   16.376   17.721 -160.800   96.332  -18.460
90  158.324   -8.362  172.523  118.020  -10.946
91  166.947   23.354 -156.743  106.371    6.906
92   31.124    1.419  157.761  118.932  -26.000
93   31.130   -2.727  166.002  117.441  -23.501
94   19.241  -11.484 -177.748   94.711  -24.252
95   87.504    6.750  163.325  128.638  -30.989
96   18.416   28.521  154.884  123.832  -39.413
97   -8.136    3.242 -173.881   98.972   -7.629
98   21.164   -2.832  177.519  123.393   -4.245
99   20.180   17.471  168.137  122.473  -15.893
100   25.086  -15.193  179.472  103.378  -34.002
101  -22.517   21.816 -159.214  103.088   -9.730
102   71.296   11.194  151.451  115.495  -21.895
103  -27.740    1.036 -154.863   92.314  -17.318
104   27.570   12.333  156.846  123.133  -10.070
105   -5.171  -47.494 -165.503  100.286  -17.696
106  -26.147    7.497 -148.389   99.689  -19.767
107   38.263   -1.188  179.538   98.751   -7.357
108    3.730   -6.743 -171.755  106.637  -35.440
109   20.506   12.961 -179.317  125.651  -25.130
110  -18.898   -4.911 -164.667  116.504  -20.418
111    3.272    9.907  166.652  126.987  -25.513
112   -7.893  -16.085 -163.635  109.388  -29.891
113  -12.306  -26.769 -136.772   84.338  -18.043
114    6.396   17.175 -164.908  114.643  -19.871
115   11.334  -22.877 -164.096   97.520  -32.223
116   31.603  -13.435 -161.572  112.402  -26.995
117    0.729   18.435  167.845  110.398  -40.505
118  -26.914    6.084 -127.497   91.299   -5.723
119   16.509  -17.576 -167.638  116.678   -0.446
120    0.501   17.817  158.850  102.725  -13.190
121   38.095   18.818  177.544  117.080  -24.372
122  141.341   -9.331 -165.344   83.324  -16.616
123   13.676  -21.324  179.977  107.690  -26.506
124   -1.167  -10.671 -155.591   78.944  -32.912
125    6.439   17.039  176.170  117.499  -13.770
126  -16.972   -1.791  171.101  102.485  -26.317
127  -31.119    4.430  175.383  119.684  -23.978
128    2.792   27.963  136.032  114.191  -24.853
129   -2.294   -8.439 -141.913   53.680  -27.458
130   28.541   -6.062 -147.421   32.827   -8.692
131   16.184  -23.317 -137.493   33.511   -8.618
132  160.293  -37.146 -138.178   43.717   -8.249
133   11.269  -27.553 -146.059   44.287  -13.547
134 -175.754  -34.558 -139.062   25.556  -16.832
135    3.282  -22.314 -151.913   37.695  -28.693
136    0.988  -34.382 -124.569   26.378  -13.883
137    7.143  -35.308 -138.613   35.712   -6.161
138    7.130  -11.044 -144.799   34.479  -21.362
139  169.778  -25.408 -157.597   30.426  -23.650
140  -10.704   -7.570 -137.737   47.125   -2.854
141   17.177  -20.280 -156.783   39.852  -26.015
142   13.625    5.094 -144.918   40.196  -22.973
143   23.422  -16.133 -149.397   48.204  -16.382
144    3.712  -23.556 -146.081   53.805  -34.809
145 -167.854   -7.758 -152.628   61.816  -18.479
146  140.106  -22.369 -152.495   48.471  -17.638
147 -169.465  -13.913 -134.566   49.972    1.690
148  144.589  -24.818 -149.636   39.407  -24.508
149  130.469  -12.500 -145.542   31.970  -15.541
150   16.652    7.054 -150.927   38.970  -32.215
151  -15.113  -19.358 -134.588   25.054  -11.718
152 -179.136  -17.807 -140.934   28.391  -34.092
153  177.904   -3.617 -153.899   46.728  -30.802
154 -162.153  -12.878 -154.525   58.886  -23.443
155  178.130  -18.296 -149.816   43.937  -25.366
156  175.776  -19.000 -164.034   46.267  -32.338
157  166.248  -15.586 -149.653   43.866  -32.114
158  174.674  -12.792 -141.141   35.052  -17.039
159 -177.629   25.899 -167.034   53.954  -23.768
160  131.908  -18.935 -157.338   43.970  -15.071
161 -177.480  -15.798 -143.048   47.501   -2.052
162 -176.845  -29.564 -153.948   44.316  -25.002
