PC1,PC2,PC3,Time (ps),ΔGbind,ΔGbind_Coulomb,ΔGbind_Covalent,ΔGbind_Vander,ΔGbind_HBond,ΔGbind_Lipophilic,
-2.719378074,-12.24728927,7.453866491,0,-71.37632706,-24.22908763,-6.803073416,-50.70391876,-1.74662939,-31.89591332,
-3.462725744,50.22754914,22.91443456,99.8003992,-71.15051895,-14.03609928,-4.88545637,-50.55057837,-2.125395691,-34.46517906,
-16.01120978,64.41051225,30.39955522,199.6007984,-66.26052496,-15.37929349,-6.465674166,-53.554785,-2.244728001,-34.70509961,
0.589329002,53.91098973,21.94451021,299.4011976,-69.54934964,-19.64606765,-6.541276992,-48.2911822,-3.082839536,-31.47821458,
-6.580195585,64.76162256,34.52427129,399.2015968,-85.39477747,-21.70425043,-6.283016735,-51.37147259,-2.31425193,-31.80063419,
-3.742887868,64.87410599,28.76900811,499.001996,-78.7424517,-17.17675896,-3.049696431,-60.75956419,-0.893826663,-27.32401429,
-11.37044198,60.69841722,36.82280937,598.8023952,-71.21674521,-14.36107097,-6.762499331,-49.09538262,-1.989028968,-30.34096302,
-0.682399523,46.09511702,25.13395574,698.6027944,-87.60115814,-19.56300148,-4.223468697,-61.94987824,-1.089851002,-23.50351362,
-0.655606458,52.95778856,20.11618704,798.4031936,-69.95092806,-12.98375183,-0.973177874,-55.0954286,-2.193729529,-29.95481287,
-3.754534867,51.93702746,20.89274431,898.2035928,-77.60489232,-15.16810961,-6.064828149,-44.17677109,0.223892158,-29.00525228,
6.422463198,53.22173594,27.61762416,998.003992,-83.15010053,-15.71543209,-5.010307948,-41.94789935,-3.005183928,-37.38912732,
9.032873025,51.98218581,25.89184159,1097.804391,-73.55499988,-22.04015878,-5.960451573,-53.0503595,-1.770599288,-34.21202585,
13.91188657,54.79441882,24.33568082,1197.60479,-73.732791,-18.17900284,-3.318287122,-58.41374229,-2.618296463,-27.51021948,
10.90162969,50.04150627,25.91325654,1297.40519,-83.61461244,-20.45516172,-4.748200775,-48.41073773,-1.134004361,-40.35833151,
7.697257208,55.29319905,25.71907568,1397.205589,-72.49719325,-22.11113702,-1.867190289,-49.55704421,-1.13367517,-34.12426634,
8.287254532,56.79198495,24.19385621,1497.005988,-82.59756436,-16.67071604,-12.02445635,-45.02604944,-2.419060277,-19.89377799,
8.816931551,47.25285742,20.44009603,1596.806387,-74.52940712,-13.88352314,-3.23582562,-51.21755523,-2.397872095,-31.47990762,
7.455099201,56.33096866,25.66896618,1696.606786,-82.54495855,-10.85686925,-1.095125904,-53.40964426,-1.776653382,-27.03302919,
8.255019262,61.99741641,24.25726764,1796.407186,-63.7121854,-17.3779463,-3.96727454,-53.747707,-1.717096098,-40.26218711,
10.64727125,61.29075324,28.02648016,1896.207585,-70.25426797,-22.00516474,-5.048448093,-45.34273785,-1.96622452,-25.48625762,
15.95723388,55.48984735,23.18183619,1996.007984,-73.53191739,-11.31309192,-9.623914023,-58.03665169,-0.668718264,-33.58122938,
11.58697821,52.3427836,19.86748079,2095.808383,-80.44081566,-13.02536837,-0.951599091,-53.06519398,-2.121248969,-35.347529,
3.096730094,59.00144824,26.33540046,2195.608782,-77.53853775,-19.91080711,-3.58866168,-47.28048408,-3.290272792,-28.08228676,
4.963723327,54.32861237,28.41537363,2295.409182,-75.83217192,-19.88543567,-2.841366853,-48.63663451,-3.507639162,-38.03711511,
12.32069427,52.47404001,27.10299707,2395.209581,-70.97363481,-15.33043561,-3.034772981,-54.34513228,-2.523335383,-32.1118703,
3.846148531,51.89973421,22.13800873,2495.00998,-83.20318286,-16.55645035,-6.347867635,-52.27619108,-0.494353401,-34.1921479,
9.386367935,50.28359942,25.03814272,2594.810379,-74.94575859,-15.79144616,-1.715433103,-51.81198046,-2.75561816,-36.10818851,
20.76862263,51.78132439,31.07706994,2694.610778,-63.66393993,-19.42123092,-4.709340339,-56.39986366,-2.006033357,-33.85143167,
17.39144422,49.19899481,23.50567066,2794.411178,-73.34341036,-19.28653188,-5.599212578,-49.4788446,-1.399938308,-35.69797303,
19.48858041,52.99228334,21.80273252,2894.211577,-80.12694755,-18.9420693,-7.075963222,-54.67050646,-0.898789028,-24.51616975,
17.83006829,40.72478168,18.1383539,2994.011976,-74.66866079,-23.23503095,-3.508095865,-57.06891754,-1.844515559,-24.30043375,
21.15191557,41.99911528,18.19539459,3093.812375,-81.99010893,-25.59015637,-4.711345012,-56.70427096,-0.659193214,-27.36090125,
22.1036475,44.03867894,23.09676526,3193.612774,-78.29618527,-21.32452265,-5.908894427,-36.977124,-1.478498722,-34.37035878,
13.9532722,47.90130124,22.46786508,3293.413174,-66.87583891,-19.44077399,-3.759999495,-54.10992207,0.072741442,-27.53228936,
17.07614291,47.58835664,25.52628756,3393.213573,-76.67901676,-24.61197146,-5.206466084,-49.51809565,-1.40925384,-29.19729663,
